Time_Relative_sf,Observation,Event_Log,Behavior
0,C8_wk8_102_HF,Event log,Grp057
5.90578,C8_wk8_102_HF,Event log,
9.34248,C8_wk8_102_HF,Event log,
11.578,C8_wk8_102_HF,Event log,Bid_fail060
20.6869,C8_wk8_102_HF,Event log,
28.895,C8_wk8_102_HF,Event log,
36.6025,C8_wk8_102_HF,Event log,
43.0088,C8_wk8_102_HF,Event log,Pos
44.8439,C8_wk8_102_HF,Event log,
47.18,C8_wk8_102_HF,Event log,Par062
47.6466,C8_wk8_102_HF,Event log,
48.6143,C8_wk8_102_HF,Event log,Bid_succ057
50.55,C8_wk8_102_HF,Event log,Grp057
57.8566,C8_wk8_102_HF,Event log,
58.3905,C8_wk8_102_HF,Event log,
59.5917,C8_wk8_102_HF,Event log,Pos
63.629,C8_wk8_102_HF,Event log,
67.1658,C8_wk8_102_HF,Event log,
68.5671,C8_wk8_102_HF,Event log,
68.9675,C8_wk8_102_HF,Event log,Bid_succ065
69.1344,C8_wk8_102_HF,Event log,Rec_tch
75.0068,C8_wk8_102_HF,Event log,
76.0077,C8_wk8_102_HF,Event log,Bid_succ068
76.7084,C8_wk8_102_HF,Event log,
77.7428,C8_wk8_102_HF,Event log,
82.0804,C8_wk8_102_HF,Event log,Par062
83.1814,C8_wk8_102_HF,Event log,
90.19,C8_wk8_102_HF,Event log,Par063
95.1932,C8_wk8_102_HF,Event log,Grp063
100.465,C8_wk8_102_HF,Event log,
103.468,C8_wk8_102_HF,Event log,
107.572,C8_wk8_102_HF,Event log,
111.242,C8_wk8_102_HF,Event log,
125.756,C8_wk8_102_HF,Event log,Grp063
125.756,C8_wk8_102_HF,Event log,Par063
128.359,C8_wk8_102_HF,Event log,Rec_fail060
132.964,C8_wk8_102_HF,Event log,
140.538,C8_wk8_102_HF,Event log,Rec_fail062
148.245,C8_wk8_102_HF,Event log,Rec_fail063
151.782,C8_wk8_102_HF,Event log,
181.077,C8_wk8_102_HF,Event log,Grp065
198.795,C8_wk8_102_HF,Event log,Grp062
219.782,C8_wk8_102_HF,Event log,Bid_fail063
225.754,C8_wk8_102_HF,Event log,Par068
226.522,C8_wk8_102_HF,Event log,
231.527,C8_wk8_102_HF,Event log,
231.927,C8_wk8_102_HF,Event log,Bid_succ062
232.561,C8_wk8_102_HF,Event log,Bid_fail063
